"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"388","DIC",5,50,100,0.04,0.16,0.2,0.2,0,0.28
"389","WAIC",5,50,100,0.04,0.16,0.2,0.2,0,0.16
"390","LOO",5,50,100,0.04,0.16,0.2,0.2,0,0.19
"391","DIC",1,70,100,0.04,0.16,0.2,0.2,0,0.41
"392","WAIC",1,70,100,0.04,0.16,0.2,0.2,0,0.68
"393","LOO",1,70,100,0.04,0.16,0.2,0.2,0,0.71
"394","DIC",2,70,100,0.04,0.16,0.2,0.2,0,0
"395","WAIC",2,70,100,0.04,0.16,0.2,0.2,0,0
"396","LOO",2,70,100,0.04,0.16,0.2,0.2,0,0
"397","DIC",3,70,100,0.04,0.16,0.2,0.2,0,0.35
